,flow_rate,voltage,image_classification,ml_classification,nn_classification,generalist_ml_classification
297,13.0,6600.51,dripping (87%),undefined,intermitent,undefined
298,13.0,6800.36,multi_jet (61%),undefined,intermitent,undefined
299,13.0,7000.59,multi_jet (100%),undefined,intermitent,undefined
300,13.0,7200.44,multi_jet (98%),undefined,intermitent,undefined
301,13.0,7400.6,multi_jet (98%),undefined,intermitent,undefined
302,13.0,7600.39,multi_jet (99%),undefined,intermitent,undefined
303,13.0,7800.54,multi_jet (99%),undefined,intermitent,undefined
304,13.0,8000.39,multi_jet (100%),undefined,intermitent,undefined
305,13.0,8200.6,multi_jet (100%),undefined,intermitent,undefined
306,13.0,8400.44,multi_jet (99%),undefined,intermitent,undefined
307,13.0,8600.59,multi_jet (100%),undefined,intermitent,undefined
308,13.0,8800.42,multi_jet (100%),undefined,intermitent,undefined
309,13.0,9000.28,multi_jet (100%),undefined,intermitent,undefined
310,14.0,3000.39,dripping (100%),dripping,dripping,dripping
311,14.0,3200.3,dripping (96%),dripping,dripping,dripping
312,14.0,3400.45,dripping (100%),cone_jet,intermitent,undefined
313,14.0,3600.43,dripping (100%),cone_jet,intermitent,undefined
314,14.0,3800.57,dripping (100%),cone_jet,intermitent,undefined
315,14.0,4000.42,dripping (100%),cone_jet,intermitent,undefined
316,14.0,4200.56,dripping (100%),cone_jet,intermitent,undefined
317,14.0,4400.4,dripping (99%),cone_jet,intermitent,undefined
318,14.0,4600.61,dripping (100%),cone_jet,intermitent,undefined
319,14.0,4800.49,dripping (96%),undefined,intermitent,undefined
320,14.0,5000.63,intermitent (99%),cone_jet,intermitent,undefined
321,14.0,5200.44,dripping (96%),cone_jet,intermitent,undefined
322,14.0,5400.6,dripping (99%),cone_jet,intermitent,undefined
323,14.0,5600.43,intermitent (84%),undefined,intermitent,undefined
324,14.0,5800.63,intermitent (90%),undefined,intermitent,undefined
325,14.0,6000.45,intermitent (64%),undefined,intermitent,undefined
326,14.0,6200.63,dripping (96%),undefined,intermitent,undefined
327,14.0,6400.36,cone_jet (99%),undefined,intermitent,undefined
328,14.0,6600.49,cone_jet (93%),undefined,intermitent,undefined
329,14.0,6800.31,cone_jet (100%),undefined,intermitent,undefined
330,14.0,7000.5,cone_jet (92%),undefined,intermitent,undefined
331,14.0,7200.32,cone_jet (91%),undefined,intermitent,undefined
332,14.0,7400.54,dripping (42%),undefined,intermitent,undefined
333,14.0,7600.31,cone_jet (53%),undefined,intermitent,undefined
334,14.0,7800.47,multi_jet (99%),undefined,intermitent,undefined
335,14.0,8000.38,multi_jet (97%),undefined,intermitent,undefined
336,14.0,8200.58,multi_jet (100%),undefined,intermitent,undefined
337,14.0,8400.38,multi_jet (100%),undefined,intermitent,undefined
338,14.0,8600.51,multi_jet (100%),undefined,intermitent,undefined
339,14.0,8800.34,multi_jet (100%),undefined,intermitent,undefined
340,14.0,9000.18,multi_jet (100%),undefined,intermitent,undefined
341,16.0,3000.54,dripping (96%),cone_jet,intermitent,undefined
342,16.0,3200.47,dripping (100%),undefined,intermitent,undefined
343,16.0,3400.47,dripping (100%),cone_jet,intermitent,undefined
344,16.0,3600.44,dripping (99%),cone_jet,intermitent,undefined
345,16.0,3800.59,dripping (100%),cone_jet,intermitent,undefined
346,16.0,4000.42,dripping (99%),cone_jet,intermitent,undefined
347,16.0,4200.59,dripping (100%),cone_jet,intermitent,undefined
348,16.0,4400.43,dripping (99%),cone_jet,intermitent,undefined
349,16.0,4600.64,dripping (52%),cone_jet,intermitent,undefined
350,16.0,4800.5,dripping (99%),cone_jet,intermitent,undefined
351,16.0,5000.65,intermitent (98%),cone_jet,intermitent,undefined
352,16.0,5200.42,intermitent (82%),undefined,intermitent,undefined
